,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class,class_coding
0,5.1,3.5,1.4,0.2,Iris-setosa,0
1,4.9,3.0,1.4,0.2,Iris-setosa,0
2,4.7,3.2,1.3,0.2,Iris-setosa,0
3,4.6,3.1,1.5,0.2,Iris-setosa,0
4,5.0,3.6,1.4,0.2,Iris-setosa,0
5,5.4,3.9,1.7,0.4,Iris-setosa,0
6,4.6,3.4,1.4,0.3,Iris-setosa,0
7,5.0,3.4,1.5,1.2365517241379318,Iris-setosa,0
9,4.9,3.1,1.5,1.2365517241379318,Iris-setosa,0
10,5.4,3.7,1.5,1.2365517241379318,Iris-setosa,0
11,4.8,3.4,1.6,1.2365517241379318,Iris-setosa,0
12,4.8,3.0,1.4,0.1,Iris-setosa,0
13,5.7,3.0,1.1,0.1,Iris-setosa,0
14,5.8,4.0,1.2,0.2,Iris-setosa,0
16,5.4,3.9,1.3,0.4,Iris-setosa,0
17,5.1,3.5,1.4,0.3,Iris-setosa,0
18,5.7,3.8,1.7,0.3,Iris-setosa,1
19,5.1,3.8,1.5,0.3,Iris-setosa,0
20,5.4,3.4,1.7,0.2,Iris-setosa,0
21,5.1,3.7,1.5,0.4,Iris-setosa,0
22,4.6,3.6,1.0,0.2,Iris-setosa,0
23,5.1,3.3,1.7,0.5,Iris-setosa,0
24,4.8,3.4,1.9,0.2,Iris-setosa,0
25,5.0,3.0,1.6,0.2,Iris-setosa,0
26,5.0,3.4,1.6,0.4,Iris-setosa,0
27,5.2,3.5,1.5,0.2,Iris-setosa,0
28,5.2,3.4,1.4,0.2,Iris-setosa,0
29,4.7,3.2,1.6,0.2,Iris-setosa,0
30,4.8,3.1,1.6,0.2,Iris-setosa,0
31,5.4,3.4,1.5,0.4,Iris-setosa,0
32,5.2,4.1,1.5,0.1,Iris-setosa,0
34,4.9,3.1,1.5,0.1,Iris-setosa,0
35,5.0,3.2,1.2,0.2,Iris-setosa,0
36,5.5,3.5,1.3,0.2,Iris-setosa,0
37,4.9,3.1,1.5,0.1,Iris-setosa,0
39,5.1,3.4,1.5,0.2,Iris-setosa,0
40,5.0,3.5,1.3,0.3,Iris-setosa,0
43,5.0,3.5,1.6,0.6,Iris-setosa,0
44,5.1,3.8,1.9,0.4,Iris-setosa,0
45,4.8,3.0,1.4,0.3,Iris-setosa,0
46,5.1,3.8,1.6,0.2,Iris-setosa,0
47,4.6,3.2,1.4,0.2,Iris-setosa,0
48,5.3,3.7,1.5,0.2,Iris-setosa,0
49,5.0,3.3,1.4,0.2,Iris-setosa,0
50,7.0,3.2,4.7,1.4,Iris-versicolor,2
51,6.4,3.2,4.5,1.5,Iris-versicolor,2
52,6.9,3.1,4.9,1.5,Iris-versicolor,2
54,6.5,2.8,4.6,1.5,Iris-versicolor,2
55,5.7,2.8,4.5,1.3,Iris-versicolor,2
56,6.3,3.3,4.7,1.6,Iris-versicolor,2
58,6.6,2.9,4.6,1.3,Iris-versicolor,2
59,5.2,2.7,3.9,1.4,Iris-versicolor,2
61,5.9,3.0,4.2,1.5,Iris-versicolor,2
63,6.1,2.9,4.7,1.4,Iris-versicolor,2
64,5.6,2.9,3.6,1.3,Iris-versicolor,2
65,6.7,3.1,4.4,1.4,Iris-versicolor,2
66,5.6,3.0,4.5,1.5,Iris-versicolor,2
67,5.8,2.7,4.1,1.0,Iris-versicolor,2
